Site,Longitude,Latitude,Total Data Traffic(DL+UL): MB, DL PDCP Throughput (Mbps),Area Code,Area LTE Traffic  %,Area  DL PDCP Throughput (Mbps),Category,Site Name,REGION,UNION,THANA,Area Name
SYSDR36,91.84637332,24.9044394,8908.0,11.3,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,West_Bagbari,SYLHET,WARD NO-09,SYLHET SADAR,SYLHET METRO
SYSDR38,91.86209479,24.91316575,9207.4,11.6,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Nurani,SYLHET,WARD NO-07,SYLHET SADAR,SYLHET METRO
SYSDR39,91.859541,24.89796636,9305.5,5.9,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Medical_Road,SYLHET,WARD NO-11,SYLHET SADAR,SYLHET METRO
SYSDR40,91.83190389,24.91232786,13991.9,17.2,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,SUST_Gate,SYLHET,TUKER BAZAR,SYLHET SADAR,SYLHET METRO
SYSDR41,91.87889373,24.89268543,11874.2,13.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Subhanighat,SYLHET,WARD NO-15,SYLHET SADAR,SYLHET METRO
SYSDR43,91.8921196,24.9036994,9995.9,15.1,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Baishakhi_R_A_Outdoor,SYLHET,WARD NO-20,SYLHET SADAR,SYLHET METRO
SYSDR44,91.89903182,24.87341058,8375.0,13.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Hobinondi,SYLHET,WARD NO-27,SYLHET SADAR,SYLHET METRO
SYSDR45,91.88466627,24.88911162,6589.5,13.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Shahjalal Upashahar,SYLHET,WARD NO-22,SYLHET SADAR,SYLHET METRO
SYSDR46,91.84670745,24.89830139,9658.2,15.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,South_Bagbari,SYLHET,WARD NO-10,SYLHET SADAR,SYLHET METRO
SYSDR47,91.87154259,24.89915051,2381.5,19.2,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Sylhet Robi Sheba,SYLHET,WARD NO-16,SYLHET SADAR,SYLHET METRO
SYSDR48,91.86563849,24.89997273,12199.0,10.7,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Hotel Holy side,SYLHET,WARD NO-01,SYLHET SADAR,SYLHET METRO
SYSDR49,91.78669404,24.97335884,7119.0,3.7,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Shiber Bazar_32mLand,SYLHET,HATKHOLA,SYLHET SADAR,SYLHET METRO
SYSDR51,91.87236071,24.89211162,1011.9,6.0,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,DCS_Karimullah Market_IBS,SYLHET,WARD NO-14,SYLHET SADAR,SYLHET METRO
SYSDR52,91.91255515,24.91155607,9874.1,17.1,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Tultikar_GP,SYLHET,TULTIKAR,SYLHET SADAR,SYLHET METRO
SYSDR61,91.8675856,24.89764851,2785.4,13.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,IBS_Al Hamra Shopping City,SYLHET,WARD NO-02,SYLHET SADAR,SYLHET METRO
SYSDR62,91.8481656,24.91288851,9727.8,12.9,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Baghbari_GP,SYLHET,WARD NO-08,SYLHET SADAR,SYLHET METRO
SYSDR64,91.84561959,24.91967051,7721.4,14.0,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Hawlader Para,SYLHET,WARD NO-08,SYLHET SADAR,SYLHET METRO
SYSDR65,91.86743259,24.89034451,284.6,5.2,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,DCS_Surma Tower_IBS,SYLHET,WARD NO-13,SYLHET SADAR,SYLHET METRO
SYSDR66,91.8731156,24.91372151,10265.0,14.2,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,"Airport Road, Khasdabir",SYLHET,WARD NO-06,SYLHET SADAR,SYLHET METRO
SYSDR67,91.86015959,24.90378051,8582.6,11.1,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Mirer Maydan,SYLHET,WARD NO-03,SYLHET SADAR,SYLHET METRO
SYSDR68,91.8455696,24.89257051,11539.2,16.4,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Ghashitula,SYLHET,WARD NO-10,SYLHET SADAR,SYLHET METRO
