long,lat,y
91.88148335,24.88432463,16242.1
91.88362331,24.90068557,5443.0
91.86920045,24.89393992,11203.8
91.89113,24.89258,10189.0
91.87015109,24.90263429,12013.3
91.85458914,24.89493948,12618.6
91.83867668,24.90910265,11010.4
91.9481757,24.91569252,21992.1
91.86434466,24.90641014,6016.7
91.87501233,24.8763294,13460.9
91.87370082,24.89110222,12116.4
91.85515288,24.90038004,7401.2
91.85717841,24.90836026,4797.8
91.8922,24.899241,2496.3
91.86409127,24.88427488,10436.5
91.87439343,24.91849645,6361.7
91.87445051,24.89577656,7742.6
91.86550592,24.89632305,8491.2
91.8652288,24.89088469,6996.1
91.87023005,24.89830032,14026.4
91.88456931,24.89455199,3874.1
91.98028005,24.93463516,18190.6
91.85676389,24.88666629,3383.7
91.89053222,24.88419333,7304.8
91.91331611,24.90049788,20065.2
91.81415397,24.91411154,13985.1
91.93411762,24.91196272,13741.2
91.85975918,24.89252273,4743.6
91.87090165,24.95079855,9130.5
91.84637332,24.9044394,8908.0
91.86209479,24.91316575,9207.4
91.859541,24.89796636,9305.5
91.83190389,24.91232786,13991.9
91.87889373,24.89268543,11874.2
91.8921196,24.9036994,9995.9
91.89903182,24.87341058,8375.0
91.88466627,24.88911162,6589.5
91.84670745,24.89830139,9658.2
91.87154259,24.89915051,2381.5
91.86563849,24.89997273,12199.0
91.78669404,24.97335884,7119.0
91.87236071,24.89211162,1011.9
91.91255515,24.91155607,9874.1
91.8675856,24.89764851,2785.4
91.8481656,24.91288851,9727.8
91.84561959,24.91967051,7721.4
91.86743259,24.89034451,284.6
91.8731156,24.91372151,10265.0
91.86015959,24.90378051,8582.6
91.8455696,24.89257051,11539.2
91.92668959,24.90821051,6787.0
91.8955196,24.89644051,9455.1
91.91419404,24.97919495,3296.4
91.87919,24.89768,11955.4
91.858,24.8903,12550.6
91.8847,24.8914,12509.3
91.8519,24.8992,7044.5
91.8685,24.9163,10977.9
91.8642,24.911,12564.5
91.887,24.8951,6355.8
91.885,24.9032,7048.1
91.8447,24.9012,8899.8
91.8821,24.9083,7617.7
91.8727,24.9077,11498.9
91.8711,24.9119,6950.9
91.8607,24.9147,4668.1
91.9003,24.8918,10859.4
91.8953,24.8921,8651.3
91.8495,24.9038,5401.8
91.8751,24.8867,11294.1
91.881166,24.897833,4814.6
91.8909,24.873,9320.0
91.8701,24.884,10748.4
91.87,24.8906,12627.9
91.86881,24.905415,10589.2
91.8447,24.9088,10941.0
91.8809,24.8894,11027.2
91.8514,24.895,3704.0
91.8761,24.9043,9418.1
91.8556,24.9108,12775.3
91.8644,24.8791,11677.4
91.8866,24.8878,5390.7
91.8542,24.9059,4685.3
91.8905,24.8887,12551.7
91.8924,24.8957,9294.7
91.8905,24.8999,3109.6
91.8713,24.941,611.8
91.8974,24.9096,6176.9
91.8708,24.9584,814.5
91.8845,24.8846,9434.6
91.895,24.9002,5188.7
91.8125,24.9293,6543.1
91.8652,24.8941,12332.8
91.8644,24.904,14878.9
91.8589,24.8832,7577.2
91.8855,24.8986,4812.7
91.8595,24.9069,10243.6
91.8407,24.9428,3593.9
91.8642,24.9523,3425.5
91.9783,24.9402,10145.9
91.90182,24.89599,12310.8
91.84349958,22.33852854,6147.8
91.82798214,22.34151,10884.7
91.82945341,22.33156615,14118.6
91.82188847,22.35833386,8201.7
91.83697181,22.34638943,9680.9
91.82515327,22.35236541,8974.8
91.83745845,22.34036768,12465.6
91.83189878,22.36092325,11651.6
91.83111783,22.33573335,11708.9
91.83081224,22.34445715,16386.3
91.82445609,22.32658895,11608.2
91.83644403,22.33783386,9174.3
91.833957,22.3328993,17873.4
91.84034815,22.33375804,13181.9
